SITE_CODE,SITE_NAME,HABITAT_CODE,HABITAT_PRIORITY,HABITAT_DESCRIPTION,HABITAT_COVER_HA,HABITAT_REPRESENTATIVITY,HABITAT_RELATIVE_SURFACE,HABITAT_CONSERVATION,HABITAT_GLOBAL
IT2070004,Monte Marser - Corni di Bos,9410,,Foreste acidofile montane e alpine di Picea (Vaccinio-Piceetea),116.74,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070004,Monte Marser - Corni di Bos,8210,,Pareti rocciose calcaree con vegetazione casmofitica,1.64,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070005,Pizzo Badile - Alta Val Zumella,7140,,Torbiere di transizione e instabili,0.4,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070005,Pizzo Badile - Alta Val Zumella,6170,,Formazioni erbose calcicole alpine e subalpine,292.56,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT2070005,Pizzo Badile - Alta Val Zumella,8110,,Ghiaioni silicei dei piani montano fino a nivale (Androsacetalia alpinae e Galeopsietalia ladani),22.86,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT2070005,Pizzo Badile - Alta Val Zumella,6150,,Formazioni erbose boreo-alpine silicicole,159.74,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT2070005,Pizzo Badile - Alta Val Zumella,6430,,"Bordure planiziali, montane e alpine di megaforbie idrofile",75.71,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070005,Pizzo Badile - Alta Val Zumella,9420,,Foreste alpine di Larix decidua e/o Pinus cembra,0.22,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT2070005,Pizzo Badile - Alta Val Zumella,9410,,Foreste acidofile montane e alpine di Picea (Vaccinio-Piceetea),641.73,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070005,Pizzo Badile - Alta Val Zumella,4060,,Lande alpine e boreali,312.42,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070005,Pizzo Badile - Alta Val Zumella,4070,,Boscaglie di Pinus mugo e Rhododendron hirsutum (Mugo-Rhododendretum hirsuti),10.03,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT2070006,Pascoli di Crocedomini - Alta Val Caffaro,9410,,Foreste acidofile montane e alpine di Picea (Vaccinio-Piceetea),457.64,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070006,Pascoli di Crocedomini - Alta Val Caffaro,7140,,Torbiere di transizione e instabili,38.7,B - good,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT2070006,Pascoli di Crocedomini - Alta Val Caffaro,9420,,Foreste alpine di Larix decidua e/o Pinus cembra,521.24,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070006,Pascoli di Crocedomini - Alta Val Caffaro,6170,,Formazioni erbose calcicole alpine e subalpine,693.81,A - excellent,C (2% >= p > 0%),B - Good,B - Good
IT2070006,Pascoli di Crocedomini - Alta Val Caffaro,6230,,"Formazioni erbose a Nardus, ricche di specie, su substrato siliceo delle zone montane (e delle zone submontane dell'Europa continentale)",244.02,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070006,Pascoli di Crocedomini - Alta Val Caffaro,6150,,Formazioni erbose boreo-alpine silicicole,313.16,A - excellent,C (2% >= p > 0%),A - Excellent,A - Excellent
IT2070006,Pascoli di Crocedomini - Alta Val Caffaro,4070,,Boscaglie di Pinus mugo e Rhododendron hirsutum (Mugo-Rhododendretum hirsuti),92.39,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070007,Vallone del Forcel Rosso,3220,,Fiumi alpini con vegetazione riparia erbacea,14.9,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT2070007,Vallone del Forcel Rosso,6170,,Formazioni erbose calcicole alpine e subalpine,12.96,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070007,Vallone del Forcel Rosso,6150,,Formazioni erbose boreo-alpine silicicole,235.03,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070007,Vallone del Forcel Rosso,9420,,Foreste alpine di Larix decidua e/o Pinus cembra,130.76,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT2070007,Vallone del Forcel Rosso,8120,,Ghiaioni calcarei e scisto-calcarei montani e alpini (Thlaspietea rotundifolii),5.88,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT2070007,Vallone del Forcel Rosso,7140,,Torbiere di transizione e instabili,62.08,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070007,Vallone del Forcel Rosso,8110,,Ghiaioni silicei dei piani montano fino a nivale (Androsacetalia alpinae e Galeopsietalia ladani),109.64,B - good,C (2% >= p > 0%),A - Excellent,B - Good
IT2070007,Vallone del Forcel Rosso,6430,,"Bordure planiziali, montane e alpine di megaforbie idrofile",39.96,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070007,Vallone del Forcel Rosso,4060,,Lande alpine e boreali,377.21,B - good,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT2070007,Vallone del Forcel Rosso,4070,,Boscaglie di Pinus mugo e Rhododendron hirsutum (Mugo-Rhododendretum hirsuti),44.51,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070008,Cresta Monte Colombé e Cima Barbignaga,8220,,Pareti rocciose silicee con vegetazione casmofitica,2.36,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070008,Cresta Monte Colombé e Cima Barbignaga,6170,,Formazioni erbose calcicole alpine e subalpine,58.05,B - good,C (2% >= p > 0%),A - Excellent,B - Good
IT2070008,Cresta Monte Colombé e Cima Barbignaga,4060,,Lande alpine e boreali,1.0,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070009,Versanti dell'Avio,4070,,Boscaglie di Pinus mugo e Rhododendron hirsutum (Mugo-Rhododendretum hirsuti),41.82,B - good,C (2% >= p > 0%),A - Excellent,A - Excellent
IT2070009,Versanti dell'Avio,6150,,Formazioni erbose boreo-alpine silicicole,274.33,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT2070009,Versanti dell'Avio,9420,,Foreste alpine di Larix decidua e/o Pinus cembra,247.05,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070009,Versanti dell'Avio,4060,,Lande alpine e boreali,43.99,B - good,C (2% >= p > 0%),A - Excellent,B - Good
IT2070009,Versanti dell'Avio,8110,,Ghiaioni silicei dei piani montano fino a nivale (Androsacetalia alpinae e Galeopsietalia ladani),337.87,B - good,C (2% >= p > 0%),A - Excellent,B - Good
IT2070009,Versanti dell'Avio,7140,,Torbiere di transizione e instabili,4.8,A - excellent,C (2% >= p > 0%),A - Excellent,A - Excellent
IT2070010,Piz Olda - Val Malga,6150,,Formazioni erbose boreo-alpine silicicole,294.45,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070010,Piz Olda - Val Malga,8110,,Ghiaioni silicei dei piani montano fino a nivale (Androsacetalia alpinae e Galeopsietalia ladani),2.47,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070010,Piz Olda - Val Malga,7140,,Torbiere di transizione e instabili,18.47,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070010,Piz Olda - Val Malga,9410,,Foreste acidofile montane e alpine di Picea (Vaccinio-Piceetea),217.31,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT2070010,Piz Olda - Val Malga,3220,,Fiumi alpini con vegetazione riparia erbacea,0.18,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070010,Piz Olda - Val Malga,4060,,Lande alpine e boreali,218.28,A - excellent,C (2% >= p > 0%),A - Excellent,A - Excellent
IT2070011,Torbiera La Goia,7140,,Torbiere di transizione e instabili,0.2,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070012,Torbiere di Val Braone,6430,,"Bordure planiziali, montane e alpine di megaforbie idrofile",8.49,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT2070012,Torbiere di Val Braone,7140,,Torbiere di transizione e instabili,1.52,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070013,Ghiacciaio dell'Adamello,8110,,Ghiaioni silicei dei piani montano fino a nivale (Androsacetalia alpinae e Galeopsietalia ladani),67.26,B - good,C (2% >= p > 0%),A - Excellent,B - Good
IT2070013,Ghiacciaio dell'Adamello,8340,,Ghiacciai permanenti,2265.11,A - excellent,A (100% >= p > 15%),A - Excellent,A - Excellent
IT2070013,Ghiacciaio dell'Adamello,6150,,Formazioni erbose boreo-alpine silicicole,1.41,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070014,Lago di Pile,3130,,"Acque stagnanti, da oligotrofe a mesotrofe, con vegetazione dei Littorelletea uniflorae e/o degli Isoëto-Nanojuncetea",1.25,A - excellent,C (2% >= p > 0%),B - Good,B - Good
IT2070014,Lago di Pile,8110,,Ghiaioni silicei dei piani montano fino a nivale (Androsacetalia alpinae e Galeopsietalia ladani),1.85,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070014,Lago di Pile,7140,,Torbiere di transizione e instabili,0.71,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070014,Lago di Pile,6150,,Formazioni erbose boreo-alpine silicicole,0.2,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070015,Monte Cas - Cima di Corlor,9180,,"Foreste di versanti, ghiaioni e valloni del Tilio-Acerion",1.02,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070015,Monte Cas - Cima di Corlor,8210,,Pareti rocciose calcaree con vegetazione casmofitica,64.52,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070015,Monte Cas - Cima di Corlor,9340,,Foreste di Quercus ilex e Quercus rotundifolia,77.89,D - non significant,,,
IT2070015,Monte Cas - Cima di Corlor,6210,,Formazioni erbose secche seminaturali e facies coperte da cespugli su substrato calcareo (Festuco-Brometalia) (*stupenda fioritura di orchidee),0.07,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT2070015,Monte Cas - Cima di Corlor,7220,,Sorgenti pietrificanti con formazione di tufi (Cratoneurion),0.001,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070016,Cima Comer,9340,,Foreste di Quercus ilex e Quercus rotundifolia,14.32,D - non significant,,,
IT2070016,Cima Comer,8210,,Pareti rocciose calcaree con vegetazione casmofitica,38.6,B - good,C (2% >= p > 0%),A - Excellent,B - Good
IT2070016,Cima Comer,91K0,,Foreste illiriche di Fagus sylvatica (Aremonio-Fagion),89.39,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT2070016,Cima Comer,6210,,Formazioni erbose secche seminaturali e facies coperte da cespugli su substrato calcareo (Festuco-Brometalia) (*stupenda fioritura di orchidee),10.91,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070017,Valli di San Antonio,7140,,Torbiere di transizione e instabili,5.24,A - excellent,C (2% >= p > 0%),B - Good,B - Good
IT2070017,Valli di San Antonio,3130,,"Acque stagnanti, da oligotrofe a mesotrofe, con vegetazione dei Littorelletea uniflorae e/o degli Isoëto-Nanojuncetea",15.33,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070017,Valli di San Antonio,8220,,Pareti rocciose silicee con vegetazione casmofitica,251.97,A - excellent,B (15% >= p > 2%),A - Excellent,A - Excellent
IT2070017,Valli di San Antonio,6230,,"Formazioni erbose a Nardus, ricche di specie, su substrato siliceo delle zone montane (e delle zone submontane dell'Europa continentale)",54.54,A - excellent,B (15% >= p > 2%),C - Average or reduced,B - Good
IT2070017,Valli di San Antonio,6520,,Praterie montane da fieno,148.39,A - excellent,B (15% >= p > 2%),C - Average or reduced,C - Significant
IT2070017,Valli di San Antonio,8110,,Ghiaioni silicei dei piani montano fino a nivale (Androsacetalia alpinae e Galeopsietalia ladani),196.55,A - excellent,B (15% >= p > 2%),A - Excellent,A - Excellent
IT2070017,Valli di San Antonio,9410,,Foreste acidofile montane e alpine di Picea (Vaccinio-Piceetea),765.28,A - excellent,A (100% >= p > 15%),A - Excellent,A - Excellent
IT2070017,Valli di San Antonio,9420,,Foreste alpine di Larix decidua e/o Pinus cembra,309.65,B - good,B (15% >= p > 2%),A - Excellent,B - Good
IT2070017,Valli di San Antonio,3240,,Fiumi alpini con vegetazione riparia legnosa a Salix eleagnos,31.73,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070017,Valli di San Antonio,4060,,Lande alpine e boreali,538.95,A - excellent,B (15% >= p > 2%),A - Excellent,A - Excellent
IT2070017,Valli di San Antonio,8230,,Rocce silicee con vegetazione pioniera del Sedo-Scleranthion o del Sedo albi-Veronicion dillenii,12.61,A - excellent,C (2% >= p > 0%),A - Excellent,A - Excellent
IT2070017,Valli di San Antonio,6150,,Formazioni erbose boreo-alpine silicicole,1178.64,A - excellent,A (100% >= p > 15%),A - Excellent,A - Excellent
IT2070018,Altopiano di Cariadeghe,6210,1.0,Formazioni erbose secche seminaturali e facies coperte da cespugli su substrato calcareo (Festuco-Brometalia) (*stupenda fioritura di orchidee),12.6,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070018,Altopiano di Cariadeghe,91L0,,Querceti di rovere illirici (Erythronio-Carpinion),9.93,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070018,Altopiano di Cariadeghe,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",27.33,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070018,Altopiano di Cariadeghe,8310,,Grotte non ancora sfruttate a livello turistico,,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT2070019,Sorgente Funtanì,91L0,,Querceti di rovere illirici (Erythronio-Carpinion),10.08,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT2070019,Sorgente Funtanì,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",1.7,D - non significant,,,
IT2070019,Sorgente Funtanì,91H0,,Boschi pannonici di Quercus pubescens,8.32,D - non significant,,,
IT2070019,Sorgente Funtanì,6410,,"Praterie con Molinia su terreni calcarei, torbosi o argilloso-limosi (Molinion caeruleae)",0.02,D - non significant,,,
IT2070019,Sorgente Funtanì,8310,,Grotte non ancora sfruttate a livello turistico,,D - non significant,,,
IT2070019,Sorgente Funtanì,9260,,Boschi di Castanea sativa,4.33,D - non significant,,,
IT2070019,Sorgente Funtanì,6210,1.0,Formazioni erbose secche seminaturali e facies coperte da cespugli su substrato calcareo (Festuco-Brometalia) (*stupenda fioritura di orchidee),3.37,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT2070019,Sorgente Funtanì,91E0,,,0.76,D - non significant,,,
IT2070019,Sorgente Funtanì,9180,,"Foreste di versanti, ghiaioni e valloni del Tilio-Acerion",0.31,D - non significant,,,
IT2070019,Sorgente Funtanì,7220,,Sorgenti pietrificanti con formazione di tufi (Cratoneurion),0.001,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT2070019,Sorgente Funtanì,8130,,Ghiaioni del Mediterraneo occidentale e termofili,0.04,D - non significant,,,
IT2070020,Torbiere d'Iseo,6410,,"Praterie con Molinia su terreni calcarei, torbosi o argilloso-limosi (Molinion caeruleae)",2.16,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT2070020,Torbiere d'Iseo,91E0,,,0.46,C - significant,C (2% >= p > 0%),C - Average or reduced,B - Good
IT2070020,Torbiere d'Iseo,7210,,Paludi calcaree con Cladium mariscus e specie del Caricion davallianae,3.3,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT2070020,Torbiere d'Iseo,3150,,Laghi eutrofici naturali con vegetazione del Magnopotamion o Hydrocharition,2.16,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070020,Torbiere d'Iseo,3130,,"Acque stagnanti, da oligotrofe a mesotrofe, con vegetazione dei Littorelletea uniflorae e/o degli Isoëto-Nanojuncetea",1.22,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070020,Torbiere d'Iseo,7230,,Torbiere basse alcaline,81.05,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070020,Torbiere d'Iseo,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",3.39,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070021,Valvestino,6210,,Formazioni erbose secche seminaturali e facies coperte da cespugli su substrato calcareo (Festuco-Brometalia) (*stupenda fioritura di orchidee),156.09,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070021,Valvestino,9260,,Boschi di Castanea sativa,1.4,D - non significant,,,
IT2070021,Valvestino,8210,,Pareti rocciose calcaree con vegetazione casmofitica,73.68,A - excellent,C (2% >= p > 0%),A - Excellent,A - Excellent
IT2070021,Valvestino,9180,,"Foreste di versanti, ghiaioni e valloni del Tilio-Acerion",0.48,D - non significant,,,
IT2070021,Valvestino,6520,,Praterie montane da fieno,123.91,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT2070021,Valvestino,8310,,Grotte non ancora sfruttate a livello turistico,,D - non significant,,,
IT2070021,Valvestino,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",61.89,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT2070021,Valvestino,91K0,,Foreste illiriche di Fagus sylvatica (Aremonio-Fagion),632.42,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070021,Valvestino,8130,,Ghiaioni del Mediterraneo occidentale e termofili,3.9,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070021,Valvestino,4070,,Boscaglie di Pinus mugo e Rhododendron hirsutum (Mugo-Rhododendretum hirsuti),107.27,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070021,Valvestino,6170,,Formazioni erbose calcicole alpine e subalpine,582.18,A - excellent,C (2% >= p > 0%),B - Good,A - Excellent
IT2070021,Valvestino,91H0,,Boschi pannonici di Quercus pubescens,9.94,D - non significant,,,
IT2070021,Valvestino,4060,,Lande alpine e boreali,4.36,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070022,Corno della Marogna,4060,,Lande alpine e boreali,1.0,A - excellent,C (2% >= p > 0%),B - Good,B - Good
IT2070022,Corno della Marogna,3240,,Fiumi alpini con vegetazione riparia legnosa a Salix eleagnos,2.1,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT2070022,Corno della Marogna,6170,,Formazioni erbose calcicole alpine e subalpine,603.72,A - excellent,C (2% >= p > 0%),B - Good,A - Excellent
IT2070022,Corno della Marogna,8210,,Pareti rocciose calcaree con vegetazione casmofitica,72.68,B - good,C (2% >= p > 0%),A - Excellent,A - Excellent
IT2070022,Corno della Marogna,8130,,Ghiaioni del Mediterraneo occidentale e termofili,10.83,C - significant,C (2% >= p > 0%),A - Excellent,A - Excellent
IT2070022,Corno della Marogna,6210,,Formazioni erbose secche seminaturali e facies coperte da cespugli su substrato calcareo (Festuco-Brometalia) (*stupenda fioritura di orchidee),9.61,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070022,Corno della Marogna,7230,,Torbiere basse alcaline,0.03,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070022,Corno della Marogna,7220,,Sorgenti pietrificanti con formazione di tufi (Cratoneurion),0.001,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070022,Corno della Marogna,4070,,Boscaglie di Pinus mugo e Rhododendron hirsutum (Mugo-Rhododendretum hirsuti),119.07,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070022,Corno della Marogna,91K0,,Foreste illiriche di Fagus sylvatica (Aremonio-Fagion),294.76,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070023,Belvedere - Tri Plane,7140,,Torbiere di transizione e instabili,5.06,B - good,C (2% >= p > 0%),B - Good,B - Good
IT2070023,Belvedere - Tri Plane,6410,,"Praterie con Molinia su terreni calcarei, torbosi o argilloso-limosi (Molinion caeruleae)",1.88,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120034,Paludi di Sternigo,91E0,,,3.82,A - excellent,C (2% >= p > 0%),A - Excellent,A - Excellent
IT3120034,Paludi di Sternigo,6150,,Formazioni erbose boreo-alpine silicicole,0.68,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120034,Paludi di Sternigo,6430,,"Bordure planiziali, montane e alpine di megaforbie idrofile",4.71,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT3120034,Paludi di Sternigo,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",0.59,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120034,Paludi di Sternigo,3150,,Laghi eutrofici naturali con vegetazione del Magnopotamion o Hydrocharition,2.15,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120034,Paludi di Sternigo,9410,,Foreste acidofile montane e alpine di Picea (Vaccinio-Piceetea),6.69,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120035,Laghestel di Pine',6430,,"Bordure planiziali, montane e alpine di megaforbie idrofile",1.11,A - excellent,C (2% >= p > 0%),A - Excellent,A - Excellent
IT3120035,Laghestel di Pine',7140,,Torbiere di transizione e instabili,0.04,A - excellent,C (2% >= p > 0%),B - Good,B - Good
IT3120035,Laghestel di Pine',91E0,,,2.8,A - excellent,C (2% >= p > 0%),B - Good,B - Good
IT3120035,Laghestel di Pine',6410,,"Praterie con Molinia su terreni calcarei, torbosi o argilloso-limosi (Molinion caeruleae)",0.36,A - excellent,C (2% >= p > 0%),B - Good,B - Good
IT3120035,Laghestel di Pine',3160,,Laghi e stagni distrofici naturali,0.66,A - excellent,C (2% >= p > 0%),A - Excellent,A - Excellent
IT3120035,Laghestel di Pine',9410,,Foreste acidofile montane e alpine di Picea (Vaccinio-Piceetea),0.78,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120035,Laghestel di Pine',6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",1.83,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120036,Redebus,6410,,"Praterie con Molinia su terreni calcarei, torbosi o argilloso-limosi (Molinion caeruleae)",0.71,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120036,Redebus,7140,,Torbiere di transizione e instabili,1.84,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120036,Redebus,91E0,,,0.36,D - non significant,,,
IT3120036,Redebus,9410,,Foreste acidofile montane e alpine di Picea (Vaccinio-Piceetea),5.67,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT3120036,Redebus,7230,,Torbiere basse alcaline,0.01,D - non significant,,,
IT3120036,Redebus,6230,,"Formazioni erbose a Nardus, ricche di specie, su substrato siliceo delle zone montane (e delle zone submontane dell'Europa continentale)",0.17,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT3120038,Inghiaie,3260,,Fiumi delle pianure e montani con vegetazione del Ranunculion fluitantis e Callitricho- Batrachion.,0.01,D - non significant,,,
IT3120038,Inghiaie,3150,,Laghi eutrofici naturali con vegetazione del Magnopotamion o Hydrocharition,0.08,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT3120038,Inghiaie,6410,,"Praterie con Molinia su terreni calcarei, torbosi o argilloso-limosi (Molinion caeruleae)",2.76,A - excellent,C (2% >= p > 0%),B - Good,A - Excellent
IT3120038,Inghiaie,91E0,,,10.48,A - excellent,C (2% >= p > 0%),B - Good,B - Good
IT3120038,Inghiaie,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",0.68,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120039,Canneto di Levico,91E0,,,2.92,B - good,C (2% >= p > 0%),A - Excellent,A - Excellent
IT3120039,Canneto di Levico,9110,,Faggeti del Luzulo-Fagetum,2.71,C - significant,C (2% >= p > 0%),B - Good,B - Good
IT3120039,Canneto di Levico,3150,,Laghi eutrofici naturali con vegetazione del Magnopotamion o Hydrocharition,3.28,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120040,Lago Pudro,3150,,Laghi eutrofici naturali con vegetazione del Magnopotamion o Hydrocharition,3.18,A - excellent,C (2% >= p > 0%),A - Excellent,A - Excellent
IT3120040,Lago Pudro,91E0,,,3.92,A - excellent,C (2% >= p > 0%),A - Excellent,A - Excellent
IT3120040,Lago Pudro,7140,,Torbiere di transizione e instabili,0.12,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120041,Lago Costa,6430,,"Bordure planiziali, montane e alpine di megaforbie idrofile",0.04,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT3120041,Lago Costa,91E0,,,1.09,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120041,Lago Costa,3150,,Laghi eutrofici naturali con vegetazione del Magnopotamion o Hydrocharition,0.93,B - good,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT3120042,Canneti di San Cristoforo,91E0,,,1.99,B - good,C (2% >= p > 0%),A - Excellent,A - Excellent
IT3120042,Canneti di San Cristoforo,3150,,Laghi eutrofici naturali con vegetazione del Magnopotamion o Hydrocharition,3.75,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120042,Canneti di San Cristoforo,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",0.34,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120042,Canneti di San Cristoforo,6430,,"Bordure planiziali, montane e alpine di megaforbie idrofile",0.15,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120043,Pize',6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",0.48,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120043,Pize',91E0,,,12.66,A - excellent,C (2% >= p > 0%),B - Good,B - Good
IT3120043,Pize',6430,,"Bordure planiziali, montane e alpine di megaforbie idrofile",0.06,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
IT3120045,Lagabrun,6410,,"Praterie con Molinia su terreni calcarei, torbosi o argilloso-limosi (Molinion caeruleae)",0.47,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120045,Lagabrun,8110,,Ghiaioni silicei dei piani montano fino a nivale (Androsacetalia alpinae e Galeopsietalia ladani),0.01,D - non significant,,,
IT3120045,Lagabrun,91E0,,,0.09,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120045,Lagabrun,6230,,"Formazioni erbose a Nardus, ricche di specie, su substrato siliceo delle zone montane (e delle zone submontane dell'Europa continentale)",0.08,B - good,C (2% >= p > 0%),A - Excellent,B - Good
IT3120045,Lagabrun,9110,,Faggeti del Luzulo-Fagetum,2.37,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120045,Lagabrun,7140,,Torbiere di transizione e instabili,0.64,A - excellent,C (2% >= p > 0%),B - Good,B - Good
IT3120045,Lagabrun,6510,,"Praterie magre da fieno a bassa altitudine (Alopecurus pratensis, Sanguisorba officinalis)",0.77,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120046,Prati di Monte,7140,,Torbiere di transizione e instabili,0.13,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120046,Prati di Monte,6410,,"Praterie con Molinia su terreni calcarei, torbosi o argilloso-limosi (Molinion caeruleae)",0.43,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT3120046,Prati di Monte,91D0,,Torbiere boscate,0.15,C - significant,C (2% >= p > 0%),B - Good,C - Significant
IT3120046,Prati di Monte,6230,,"Formazioni erbose a Nardus, ricche di specie, su substrato siliceo delle zone montane (e delle zone submontane dell'Europa continentale)",0.07,B - good,C (2% >= p > 0%),B - Good,C - Significant
IT3120046,Prati di Monte,7110,,Torbiere alte attive,0.3,B - good,C (2% >= p > 0%),B - Good,B - Good
IT3120046,Prati di Monte,9410,,Foreste acidofile montane e alpine di Picea (Vaccinio-Piceetea),4.71,C - significant,C (2% >= p > 0%),C - Average or reduced,C - Significant
